conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,personeel opleiden om voedselverspilling tegen te gaan,released,skill/competence,sector-specific,,"Nieuwe opleidingen en maatregelen voor de ontwikkeling van het personeel opzetten om de kennis van het personeel inzake de preventie van voedselverspilling en praktijken voor voedselrecycling te ondersteunen. Zorgen dat het personeel de methoden en instrumenten voor voedselrecycling begrijpt, bv. het scheiden van afval.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,opleiden op het gebied van operationele procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,concepten voor energiebesparing ontwikkelen,released,skill/competence,cross-sector,,"Gebruik maken van de huidige onderzoeksresultaten en samenwerken met deskundigen om concepten, apparatuur en productieprocessen te optimaliseren of te ontwikkelen die minder energie vereisen, zoals nieuwe isolatiepraktijken en -materialen.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,operationele beleidslijnen en procedures ontwikkelen | innovatief denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,onderzoek naar flora uitvoeren,released,skill/competence,sector-specific,,"Verzamelen en analyseren van gegevens over planten om hun basisaspecten zoals oorsprong, anatomie en functie te ontdekken.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analyseren van wetenschappelijk en medische gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,warmtepompen installeren,released,skill/competence,cross-sector,warmtepompen plaatsen,"Warmtepompen, die de fysieke eigenschappen van de als koelmiddel gebruikte stoffen gebruiken om warmte te winnen uit een omgeving en die vrijlaten in een warmere omgeving, gaan tegen een spontane warmtestroming in. De nodige openingen creëren en de binnen- en buitendelen van de warmtepomp installeren. Het aansluiten van de elektriciteit en alle kanalen en het configureren van de warmtepomp.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"installeren van verwarmings-, ventilatie- en airconditioningsapparatuur"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,biomassa-installaties ontwerpen,released,skill/competence,sector-specific,,"Het biomassa-energiesysteem ontwerpen. De constructiegrenzen bepalen, zoals benodigde ruimte en gewicht. Indicatoren zoals capaciteit, debiet, en temperaturen berekenen. Gedetailleerde beschrijvingen en tekeningen maken van het ontwerp.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,ontwerpen van elektrische of elektronische systemen en apparatuur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,offshoreconstructies inspecteren,released,skill/competence,cross-sector,,"Regelmatige inspecties verrichten tijdens en na de bouw van offshore-installaties, zoals olieplatformen, om ervoor te zorgen dat de risico’s tot een minimum worden beperkt en de regelgeving wordt nageleefd.",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"adviseren over juridische zaken, wet- en regelgeving en procedurele aangelegenheden"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,manieren toepassen om de biodiversiteit en het dierenwelzijn te bevorderen,released,skill/competence,transversal,,"Gedrag aannemen dat bijdraagt tot het behoud van stabiele ecosystemen en de strijd tegen massa-extinctie, bijvoorbeeld door bewuste voedingskeuzes te maken die de biologische voedselproductie en het dierenwelzijn ondersteunen.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,ecologische vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,een haalbaarheidsstudie voor gebouwbeheersystemen uitvoeren,released,skill/competence,sector-specific,,"Het potentieel van een gebouwbeheersysteem evalueren en beoordelen. Een gestandaardiseerd onderzoek realiseren om de energiebesparingsbijdrage, de kosten en de beperkingen te bepalen, en onderzoek uitvoeren om het besluitvormingsproces te ondersteunen.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analyseren van bedrijfsactiviteiten | haalbaarheidsonderzoek uitvoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,verontreinigde materialen verwijderen,released,skill/competence,sector-specific,vervuilde materialen verwijderen | gecontamineerde materialen verwijderen,De met gevaarlijke stoffen verontreinigde materialen en uitrusting verwijderen om de omgeving te beschermen tegen verdere verontreiniging en om de verontreinigde materialen te behandelen of te verwijderen.,http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,verwerken en verwijderen van gevaarlijke stoffen | besmettingen beoordelen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,controleprocedures voor het verwerken van gevaarlijke stoffen opvolgen,released,skill/competence,sector-specific,,"Voldoen aan de procedures voor de controle van stoffen die gevaarlijk zijn voor de gezondheid (COSHH) voor activiteiten waarbij gevaarlijke stoffen betrokken zijn, zoals bacteriën, allergenen, afgewerkte olie, verf- of remvloeistoffen die een ziekte of letsel kunnen veroorzaken.
	",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,verwerken en verwijderen van gevaarlijke stoffen | veiligheidsmaatregelen bij werkpraktijken in acht nemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,bomen meten,released,skill/competence,cross-sector,,"Alle relevante metingen van een boom uitvoeren: het gebruik van een clinometer om de hoogte te meten, band om de omtrek te meten en de metingen van boorpijpen en schors om het groeitempo te schatten.",http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07 | http://data.europa.eu/esco/skill/23d7bd85-d8d5-4455-b64d-3b0998f2425d,werkgerelateerde metingen uitvoeren | meten van afmetingen en bijbehorende eigenschappen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,dieren redden,released,skill/competence,sector-specific,,Het redden van dieren in situaties die een onmiddellijke of potentiële bedreiging voor hun welzijn vormen.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,waarborgen en handhaven van fysieke veiligheid
